Edge		Weight
17 - 12		10
17 - 13		10
17 - 14		6
17 - 15		4
17 - 16		2
17 - 18		4
18 - 0		5
18 - 1		10
18 - 2		10
18 - 3		10
18 - 4		2
18 - 5		8
18 - 6		10
18 - 7		10
18 - 8		10
18 - 9		10
18 - 10		10
18 - 11		10
18 - 12		10
18 - 13		10
18 - 14		10
18 - 15		8
18 - 16		6
18 - 17		4
18 - 19		2
19 - 0		5
19 - 1		10
19 - 2		10
19 - 3		10
19 - 4		4
19 - 5		6
19 - 6		10
19 - 7		10
19 - 8		10
19 - 9		10
19 - 10		10
19 - 11		10
19 - 12		10
19 - 13		10
19 - 14		10
19 - 15		10
19 - 16		8
19 - 17		6
19 - 18		2
19 - 20		2
20 - 0		5
20 - 1		10
20 - 2		10
20 - 3		10
20 - 4		6
20 - 5		4
20 - 6		10
20 - 7		10
20 - 8		10
20 - 9		10
20 - 10		10
20 - 11		10
20 - 12		10
20 - 13		10
20 - 14		10
20 - 15		10
20 - 16		10
20 - 17		8
20 - 18		4
20 - 19		2
20 - 21		2
21 - 0		5
21 - 1		10
21 - 2		10
21 - 3		10
21 - 4		8
21 - 5		2
21 - 6		10
21 - 7		10
21 - 8		10
21 - 9		10
21 - 10		10
21 - 11		10
21 - 12		10
21 - 13		10
21 - 14		10
21 - 15		10
21 - 16		10
21 - 17		10
21 - 18		6
21 - 19		4
21 - 20		2
21 - 22		9
22 - 0		4
22 - 1		1
22 - 2		9
22 - 3		9
22 - 4		9
22 - 5		9
22 - 6		3
22 - 7		5
22 - 8		7
22 - 9		9
22 - 10		9
22 - 11		9
22 - 12		9
22 - 13		9
22 - 14		9
22 - 15		9
22 - 16		9
22 - 17		9
22 - 18		9
22 - 19		9
22 - 20		9
22 - 21		9
22 - 23		8
23 - 0		4
23 - 1		9
23 - 2		9
23 - 3		9
23 - 4		9
23 - 5		1
23 - 6		9
23 - 7		9
23 - 8		9
23 - 9		9
23 - 10		9
23 - 11		9
23 - 12		9
23 - 13		9
23 - 14		9
23 - 15		9
23 - 16		9
23 - 17		9
23 - 18		9
23 - 19		7
23 - 20		5
23 - 21		3
23 - 22		8
23 - 24		7
24 - 0		3
24 - 1		4
24 - 2		6
24 - 3		8
24 - 4		8
24 - 5		8
24 - 6		2
24 - 7		4
24 - 8		6
24 - 9		6
24 - 10		8
24 - 11		8
24 - 12		8
24 - 13		8
24 - 14		8
24 - 15		8
24 - 16		8
24 - 17		8
24 - 18		8
24 - 19		8
24 - 20		8
24 - 21		8
24 - 22		3
24 - 23		7
24 - 25		1
25 - 0		4
25 - 1		3
25 - 2		7
25 - 3		9
25 - 4		9
25 - 5		9
25 - 6		1
25 - 7		3
25 - 8		5
25 - 9		7
25 - 10		9
25 - 11		9
25 - 12		9
25 - 13		9
25 - 14		9
25 - 15		9
25 - 16		9
25 - 17		9
25 - 18		9
25 - 19		9
25 - 20		9
25 - 21		9
25 - 22		2
25 - 23		8
25 - 24		1
25 - 26		2
26 - 0		4
26 - 1		5
26 - 2		5
26 - 3		9
26 - 4		9
26 - 5		9
26 - 6		3
26 - 7		1
26 - 8		3
26 - 9		5
26 - 10		7
26 - 11		9
26 - 12		9
26 - 13		9
26 - 14		9
26 - 15		9
26 - 16		9
26 - 17		9
26 - 18		9
26 - 19		9
26 - 20		9
26 - 21		9
26 - 22		4
26 - 23		8
26 - 24		3
26 - 25		2
26 - 27		5
27 - 0		5
27 - 1		6
27 - 2		6
27 - 3		8
27 - 4		10
27 - 5		10
27 - 6		6
27 - 7		4
27 - 8		2
27 - 9		4
27 - 10		4
27 - 11		6
27 - 12		8
27 - 13		8
27 - 14		10
27 - 15		10
27 - 16		10
27 - 17		10
27 - 18		10
27 - 19		10
27 - 20		10
27 - 21		10
27 - 22		7
27 - 23		9
27 - 24		8
27 - 25		7
27 - 26		5
27 - 28		2
28 - 0		5
28 - 1		8
28 - 2		4
28 - 3		8
28 - 4		10
28 - 5		10
28 - 6		8
28 - 7		6
28 - 8		4
28 - 9		2
28 - 10		2
28 - 11		4
28 - 12		6
28 - 13		8
28 - 14		10
28 - 15		10
28 - 16		10
28 - 17		10
28 - 18		10
28 - 19		10
28 - 20		10
28 - 21		10
28 - 22		9
28 - 23		9
28 - 24		8
28 - 25		9
28 - 26		7
28 - 27		2
28 - 29		2
29 - 0		5
29 - 1		8
29 - 2		6
29 - 3		6
29 - 4		10
29 - 5		10
29 - 6		8
29 - 7		8
29 - 8		6
29 - 9		4
29 - 10		4
29 - 11		2
29 - 12		4
29 - 13		6
29 - 14		8
29 - 15		10
29 - 16		10
29 - 17		10
29 - 18		10
29 - 19		10
29 - 20		10
29 - 21		10
29 - 22		9
29 - 23		9
29 - 24		8
29 - 25		9
29 - 26		9
29 - 27		4
29 - 28		2
29 - 30		6
30 - 0		5
30 - 1		10
30 - 2		6
30 - 3		6
30 - 4		8
30 - 5		10
30 - 6		10
30 - 7		10
30 - 8		10
30 - 9		8
30 - 10		6
30 - 11		4
30 - 12		2
30 - 13		4
30 - 14		4
30 - 15		6
30 - 16		8
30 - 17		8
30 - 18		10
30 - 19		10
30 - 20		10
30 - 21		10
30 - 22		9
30 - 23		9
30 - 24		8
30 - 25		9
30 - 26		9
30 - 27		10
30 - 28		8
30 - 29		6
30 - 31		2
31 - 0		5
31 - 1		10
31 - 2		8
31 - 3		4
31 - 4		8
31 - 5		10
31 - 6		10
31 - 7		10
31 - 8		10
31 - 9		10
31 - 10		8
31 - 11		6
31 - 12		4
31 - 13		2
31 - 14		2
31 - 15		4
31 - 16		6
31 - 17		8
31 - 18		10
31 - 19		10
31 - 20		10
31 - 21		10
31 - 22		9
31 - 23		9
31 - 24		8
31 - 25		9
31 - 26		9
31 - 27		10
31 - 28		10
31 - 29		8
31 - 30		2
31 - 32		2
32 - 0		5
32 - 1		10
32 - 2		8
32 - 3		6
32 - 4		6
32 - 5		10
32 - 6		10
32 - 7		10
32 - 8		10
32 - 9		10
32 - 10		8
32 - 11		8
32 - 12		6
32 - 13		4
32 - 14		4
32 - 15		2
32 - 16		4
32 - 17		6
32 - 18		8
32 - 19		10
32 - 20		10
32 - 21		10
32 - 22		9
32 - 23		9
32 - 24		8
32 - 25		9
32 - 26		9
32 - 27		10
32 - 28		10
32 - 29		10
32 - 30		4
32 - 31		2
32 - 33		6
33 - 0		5
33 - 1		10
33 - 2		10
33 - 3		6
33 - 4		6
33 - 5		8
33 - 6		10
33 - 7		10
33 - 8		10
33 - 9		10
33 - 10		10
33 - 11		10
33 - 12		10
33 - 13		8
33 - 14		6
33 - 15		4
33 - 16		2
33 - 17		4
33 - 18		4
33 - 19		6
33 - 20		8
33 - 21		8
33 - 22		9
33 - 23		9
33 - 24		8
33 - 25		9
33 - 26		9
33 - 27		10
33 - 28		10
33 - 29		10
33 - 30		10
33 - 31		8
33 - 32		6
33 - 34		2
34 - 0		5
34 - 1		10
34 - 2		10
34 - 3		8
34 - 4		4
34 - 5		8
34 - 6		10
34 - 7		10
34 - 8		10
34 - 9		10
34 - 10		10
34 - 11		10
34 - 12		10
34 - 13		10
34 - 14		8
34 - 15		6
34 - 16		4
34 - 17		2
34 - 18		2
34 - 19		4
34 - 20		6
34 - 21		8
34 - 22		9
34 - 23		9
34 - 24		8
34 - 25		9
34 - 26		9
34 - 27		10
34 - 28		10
34 - 29		10
34 - 30		10
34 - 31		10
34 - 32		8
34 - 33		2
34 - 35		2
35 - 0		5
35 - 1		10
35 - 2		10
35 - 3		8
35 - 4		6
35 - 5		6
35 - 6		10
35 - 7		10
35 - 8		10
35 - 9		10
35 - 10		10
35 - 11		10
35 - 12		10
35 - 13		10
35 - 14		8
35 - 15		8
35 - 16		6
35 - 17		4
35 - 18		4
35 - 19		2
35 - 20		4
35 - 21		6
35 - 22		9
35 - 23		7
35 - 24		8
35 - 25		9
35 - 26		9
35 - 27		10
35 - 28		10
35 - 29		10
35 - 30		10
35 - 31		10
35 - 32		10
35 - 33		4
35 - 34		2
35 - 36		5
36 - 0		4
36 - 1		9
36 - 2		9
36 - 3		9
36 - 4		5
36 - 5		5
36 - 6		9
36 - 7		9
36 - 8		9
36 - 9		9
36 - 10		9
36 - 11		9
36 - 12		9
36 - 13		9
36 - 14		9
36 - 15		9
36 - 16		9
36 - 17		7
36 - 18		5
36 - 19		3
36 - 20		1
36 - 21		3
36 - 22		8
36 - 23		4
36 - 24		7
36 - 25		8
36 - 26		8
36 - 27		9
36 - 28		9
36 - 29		9
36 - 30		9
36 - 31		9
36 - 32		9
36 - 33		9
36 - 34		7
36 - 35		5
36 - 37		2
37 - 0		4
37 - 1		9
37 - 2		9
37 - 3		9
37 - 4		7
37 - 5		3
37 - 6		9
37 - 7		9
37 - 8		9
37 - 9		9
37 - 10		9
37 - 11		9
37 - 12		9
37 - 13		9
37 - 14		9
37 - 15		9
37 - 16		9
37 - 17		9
37 - 18		7
37 - 19		5
37 - 20		3
37 - 21		1
37 - 22		8
37 - 23		2
37 - 24		7
37 - 25		8
37 - 26		8
37 - 27		9
37 - 28		9
37 - 29		9
37 - 30		9
37 - 31		9
37 - 32		9
37 - 33		9
37 - 34		9
37 - 35		7
37 - 36		2
37 - 38		1
38 - 0		3
38 - 1		8
38 - 2		8
38 - 3		8
38 - 4		6
38 - 5		4
38 - 6		8
38 - 7		8
38 - 8		8
38 - 9		8
38 - 10		8
38 - 11		8
38 - 12		8
38 - 13		8
38 - 14		8
38 - 15		8
38 - 16		8
38 - 17		8
38 - 18		6
38 - 19		6
38 - 20		4
38 - 21		2
38 - 22		7
38 - 23		3
38 - 24		6
38 - 25		7
38 - 26		7
38 - 27		8
38 - 28		8
38 - 29		8
38 - 30		8
38 - 31		8
38 - 32		8
38 - 33		8
38 - 34		8
38 - 35		8
38 - 36		3
38 - 37		1
38 - 39		6
39 - 0		3
39 - 1		6
39 - 2		4
39 - 3		8
39 - 4		8
39 - 5		8
39 - 6		4
39 - 7		2
39 - 8		4
39 - 9		4
39 - 10		6
39 - 11		8
39 - 12		8
39 - 13		8
39 - 14		8
39 - 15		8
39 - 16		8
39 - 17		8
39 - 18		8
39 - 19		8
39 - 20		8
39 - 21		8
39 - 22		5
39 - 23		7
39 - 24		2
39 - 25		3
39 - 26		1
39 - 27		6
39 - 28		6
39 - 29		8
39 - 30		8
39 - 31		8
39 - 32		8
39 - 33		8
39 - 34		8
39 - 35		8
39 - 36		7
39 - 37		7
39 - 38		6
39 - 40		3
40 - 0		4
40 - 1		5
40 - 2		7
40 - 3		7
40 - 4		9
40 - 5		9
40 - 6		5
40 - 7		3
40 - 8		5
40 - 9		7
40 - 10		5
40 - 11		7
40 - 12		7
40 - 13		7
40 - 14		9
40 - 15		9
40 - 16		9
40 - 17		9
40 - 18		9
40 - 19		9
40 - 20		9
40 - 21		9
40 - 22		4
40 - 23		8
40 - 24		5
40 - 25		4
40 - 26		2
40 - 27		3
40 - 28		5
40 - 29		7
40 - 30		9
40 - 31		9
40 - 32		9
40 - 33		9
40 - 34		9
40 - 35		9
40 - 36		8
40 - 37		8
40 - 38		7
40 - 39		3
40 - 41		2
41 - 0		4
41 - 1		7
41 - 2		5
41 - 3		7
41 - 4		9
41 - 5		9
41 - 6		7
41 - 7		5
41 - 8		3
41 - 9		5
41 - 10		3
41 - 11		5
41 - 12		7
41 - 13		7
41 - 14		9
41 - 15		9
41 - 16		9
41 - 17		9
41 - 18		9
41 - 19		9
41 - 20		9
41 - 21		9
41 - 22		6
41 - 23		8
41 - 24		7
41 - 25		6
41 - 26		4
41 - 27		1
41 - 28		3
41 - 29		5
41 - 30		9
41 - 31		9
41 - 32		9
41 - 33		9
41 - 34		9
41 - 35		9
41 - 36		8
41 - 37		8
41 - 38		7
41 - 39		5
41 - 40		2
41 - 42		7
42 - 0		5
42 - 1		8
42 - 2		6
42 - 3		8
42 - 4		8
42 - 5		10
42 - 6		8
42 - 7		8
42 - 8		6
42 - 9		4
42 - 10		6
42 - 11		4
42 - 12		6
42 - 13		8
42 - 14		6
42 - 15		8
42 - 16		8
42 - 17		8
42 - 18		10
42 - 19		10
42 - 20		10
42 - 21		10
42 - 22		9
42 - 23		9
42 - 24		8
42 - 25		9
42 - 26		9
42 - 27		6
42 - 28		4
42 - 29		2
42 - 30		4
42 - 31		6
42 - 32		8
42 - 33		10
42 - 34		10
42 - 35		10
42 - 36		9
42 - 37		9
42 - 38		8
42 - 39		8
42 - 40		9
42 - 41		7
42 - 43		2
43 - 0		5
43 - 1		8
43 - 2		8
43 - 3		6
43 - 4		8
43 - 5		10
43 - 6		8
43 - 7		8
43 - 8		8
43 - 9		6
43 - 10		8
43 - 11		6
43 - 12		4
43 - 13		6
43 - 14		4
43 - 15		6
43 - 16		8
43 - 17		8
43 - 18		10
43 - 19		10
43 - 20		10
43 - 21		10
43 - 22		9
43 - 23		9
43 - 24		8
43 - 25		9
43 - 26		9
43 - 27		8
43 - 28		6
43 - 29		4
43 - 30		2
43 - 31		4
43 - 32		6
43 - 33		10
43 - 34		10
43 - 35		10
43 - 36		9
43 - 37		9
43 - 38		8
43 - 39		8
43 - 40		9
43 - 41		9
43 - 42		2
43 - 44		8
44 - 0		5
44 - 1		10
44 - 2		8
44 - 3		6
44 - 4		8
44 - 5		8
44 - 6		10
44 - 7		10
44 - 8		10
44 - 9		10
44 - 10		8
44 - 11		8
44 - 12		6
44 - 13		4
44 - 14		6
44 - 15		4
44 - 16		6
44 - 17		8
44 - 18		6
44 - 19		8
44 - 20		8
44 - 21		8
44 - 22		9
44 - 23		9
44 - 24		8
44 - 25		9
44 - 26		9
44 - 27		10
44 - 28		10
44 - 29		10
44 - 30		6
44 - 31		4
44 - 32		2
44 - 33		4
44 - 34		6
44 - 35		8
44 - 36		9
44 - 37		9
44 - 38		8
44 - 39		8
44 - 40		9
44 - 41		9
44 - 42		10
44 - 43		8
44 - 45		9
45 - 0		4
45 - 1		9
45 - 2		9
45 - 3		7
45 - 4		5
45 - 5		7
45 - 6		9
45 - 7		9
45 - 8		9
45 - 9		9
45 - 10		9
45 - 11		9
45 - 12		9
45 - 13		9
45 - 14		7
45 - 15		7
45 - 16		5
45 - 17		3
45 - 18		5
45 - 19		3
45 - 20		5
45 - 21		7
45 - 22		8
45 - 23		6
45 - 24		7
45 - 25		8
45 - 26		8
45 - 27		9
45 - 28		9
45 - 29		9
45 - 30		9
45 - 31		9
45 - 32		9
45 - 33		5
45 - 34		3
45 - 35		1
45 - 36		4
45 - 37		6
45 - 38		7
45 - 39		7
45 - 40		8
45 - 41		8
45 - 42		9
45 - 43		9
45 - 44		9
45 - 46		2
46 - 0		4
46 - 1		9
46 - 2		9
46 - 3		7
46 - 4		7
46 - 5		5
46 - 6		9
46 - 7		9
46 - 8		9
46 - 9		9
46 - 10		9
46 - 11		9
46 - 12		9
46 - 13		9
46 - 14		7
46 - 15		7
46 - 16		7
46 - 17		5
46 - 18		7
46 - 19		5
46 - 20		3
46 - 21		5
46 - 22		8
46 - 23		4
46 - 24		7
46 - 25		8
46 - 26		8
46 - 27		9
46 - 28		9
46 - 29		9
46 - 30		9
46 - 31		9
46 - 32		9
46 - 33		7
46 - 34		5
46 - 35		3
46 - 36		2
46 - 37		4
46 - 38		5
46 - 39		7
46 - 40		8
46 - 41		8
46 - 42		9
46 - 43		9
46 - 44		9
46 - 45		2
46 - 47		3
47 - 0		3
47 - 1		8
47 - 2		8
47 - 3		8
47 - 4		4
47 - 5		6
47 - 6		8
47 - 7		8
47 - 8		8
47 - 9		8
47 - 10		8
47 - 11		8
47 - 12		8
47 - 13		8
47 - 14		8
47 - 15		8
47 - 16		8
47 - 17		6
47 - 18		4
47 - 19		4
47 - 20		2
47 - 21		4
47 - 22		7
47 - 23		5
47 - 24		6
47 - 25		7
47 - 26		7
47 - 27		8
47 - 28		8
47 - 29		8
47 - 30		8
47 - 31		8
47 - 32		8
47 - 33		8
47 - 34		6
47 - 35		6
47 - 36		1
47 - 37		3
47 - 38		2
47 - 39		6
47 - 40		7
47 - 41		7
47 - 42		8
47 - 43		8
47 - 44		8
47 - 45		5
47 - 46		3
47 - 48		5
48 - 0		2
48 - 1		5
48 - 2		5
48 - 3		7
48 - 4		7
48 - 5		7
48 - 6		3
48 - 7		5
48 - 8		5
48 - 9		5
48 - 10		7
48 - 11		7
48 - 12		7
48 - 13		7
48 - 14		7
48 - 15		7
48 - 16		7
48 - 17		7
48 - 18		7
48 - 19		7
48 - 20		7
48 - 21		7
48 - 22		4
48 - 23		6
48 - 24		1
48 - 25		2
48 - 26		4
48 - 27		7
48 - 28		7
48 - 29		7
48 - 30		7
48 - 31		7
48 - 32		7
48 - 33		7
48 - 34		7
48 - 35		7
48 - 36		6
48 - 37		6
48 - 38		5
48 - 39		3
48 - 40		6
48 - 41		6
48 - 42		7
48 - 43		7
48 - 44		7
48 - 45		6
48 - 46		6
48 - 47		5
48 - 49		5
49 - 0		3
49 - 1		6
49 - 2		6
49 - 3		6
49 - 4		8
49 - 5		8
49 - 6		6
49 - 7		4
49 - 8		6
49 - 9		6
49 - 10		4
49 - 11		6
49 - 12		6
49 - 13		6
49 - 14		8
49 - 15		8
49 - 16		8
49 - 17		8
49 - 18		8
49 - 19		8
49 - 20		8
49 - 21		8
49 - 22		5
49 - 23		7
49 - 24		4
49 - 25		5
49 - 26		3
49 - 27		4
49 - 28		4
49 - 29		6
49 - 30		8
49 - 31		8
49 - 32		8
49 - 33		8
49 - 34		8
49 - 35		8
49 - 36		7
49 - 37		7
49 - 38		6
49 - 39		2
49 - 40		1
49 - 41		3
49 - 42		8
49 - 43		8
49 - 44		8
49 - 45		7
49 - 46		7
49 - 47		6
49 - 48		5
49 - 50		7
50 - 0		4
50 - 1		7
50 - 2		7
50 - 3		7
50 - 4		7
50 - 5		9
50 - 6		7
50 - 7		7
50 - 8		5
50 - 9		7
50 - 10		7
50 - 11		5
50 - 12		7
50 - 13		7
50 - 14		5
50 - 15		7
50 - 16		7
50 - 17		7
50 - 18		9
50 - 19		9
50 - 20		9
50 - 21		9
50 - 22		6
50 - 23		8
50 - 24		7
50 - 25		6
50 - 26		6
50 - 27		5
50 - 28		7
50 - 29		5
50 - 30		5
50 - 31		5
50 - 32		7
50 - 33		9
50 - 34		9
50 - 35		9
50 - 36		8
50 - 37		8
50 - 38		7
50 - 39		7
50 - 40		6
50 - 41		4
50 - 42		3
50 - 43		5
50 - 44		9
50 - 45		8
50 - 46		8
50 - 47		7
50 - 48		6
50 - 49		7
50 - 51		9
51 - 0		5
51 - 1		8
51 - 2		8
51 - 3		8
51 - 4		8
51 - 5		8
51 - 6		8
51 - 7		8
51 - 8		8
51 - 9		6
51 - 10		8
51 - 11		8
51 - 12		6
51 - 13		8
51 - 14		8
51 - 15		6
51 - 16		8
51 - 17		8
51 - 18		6
51 - 19		8
51 - 20		8
51 - 21		8
51 - 22		9
51 - 23		9
51 - 24		8
51 - 25		9
51 - 26		9
51 - 27		8
51 - 28		6
51 - 29		6
51 - 30		6
51 - 31		8
51 - 32		6
51 - 33		6
51 - 34		6
51 - 35		8
51 - 36		9
51 - 37		9
51 - 38		8
51 - 39		8
51 - 40		9
51 - 41		9
51 - 42		6
51 - 43		4
51 - 44		4
51 - 45		9
51 - 46		9
51 - 47		8
51 - 48		7
51 - 49		8
51 - 50		9
51 - 52		9
52 - 0		4
52 - 1		9
52 - 2		7
52 - 3		7
52 - 4		7
52 - 5		7
52 - 6		9
52 - 7		9
52 - 8		9
52 - 9		9
52 - 10		7
52 - 11		7
52 - 12		7
52 - 13		5
52 - 14		7
52 - 15		7
52 - 16		5
52 - 17		7
52 - 18		7
52 - 19		5
52 - 20		7
52 - 21		7
52 - 22		8
52 - 23		6
52 - 24		7
52 - 25		8
52 - 26		8
52 - 27		9
52 - 28		9
52 - 29		9
52 - 30		7
52 - 31		5
52 - 32		5
52 - 33		5
52 - 34		7
52 - 35		5
52 - 36		6
52 - 37		6
52 - 38		7
52 - 39		7
52 - 40		8
52 - 41		8
52 - 42		9
52 - 43		9
52 - 44		5
52 - 45		4
52 - 46		6
52 - 47		7
52 - 48		6
52 - 49		7
52 - 50		8
52 - 51		9
52 - 53		7
53 - 0		3
53 - 1		8
53 - 2		8
53 - 3		6
53 - 4		6
53 - 5		6
53 - 6		8
53 - 7		8
53 - 8		8
53 - 9		8
53 - 10		8
53 - 11		8
53 - 12		8
53 - 13		8
53 - 14		6
53 - 15		6
53 - 16		6
53 - 17		4
53 - 18		6
53 - 19		6
53 - 20		4
53 - 21		6
53 - 22		7
53 - 23		5
53 - 24		6
53 - 25		7
53 - 26		7
53 - 27		8
53 - 28		8
53 - 29		8
53 - 30		8
53 - 31		8
53 - 32		8
53 - 33		6
53 - 34		4
53 - 35		4
53 - 36		3
53 - 37		5
53 - 38		4
53 - 39		6
53 - 40		7
53 - 41		7
53 - 42		8
53 - 43		8
53 - 44		8
53 - 45		3
53 - 46		1
53 - 47		2
53 - 48		5
53 - 49		6
53 - 50		7
53 - 51		8
53 - 52		7
53 - 54		5
54 - 0		2
54 - 1		7
54 - 2		7
54 - 3		7
54 - 4		5
54 - 5		5
54 - 6		7
54 - 7		7
54 - 8		7
54 - 9		7
54 - 10		7
54 - 11		7
54 - 12		7
54 - 13		7
54 - 14		7
54 - 15		7
54 - 16		7
54 - 17		7
54 - 18		5
54 - 19		5
54 - 20		5
54 - 21		3
54 - 22		6
54 - 23		4
54 - 24		5
54 - 25		6
54 - 26		6
54 - 27		7
54 - 28		7
54 - 29		7
54 - 30		7
54 - 31		7
54 - 32		7
54 - 33		7
54 - 34		7
54 - 35		7
54 - 36		4
54 - 37		2
54 - 38		1
54 - 39		5
54 - 40		6
54 - 41		6
54 - 42		7
54 - 43		7
54 - 44		7
54 - 45		6
54 - 46		6
54 - 47		3
54 - 48		4
54 - 49		5
54 - 50		6
54 - 51		7
54 - 52		6
54 - 53		5
54 - 55		5
55 - 0		3
55 - 1		6
55 - 2		6
55 - 3		6
55 - 4		8
55 - 5		8
55 - 6		4
55 - 7		6
55 - 8		6
55 - 9		6
55 - 10		6
55 - 11		6
55 - 12		6
55 - 13		6
55 - 14		8
55 - 15		8
55 - 16		8
55 - 17		8
55 - 18		8
55 - 19		8
55 - 20		8
55 - 21		8
55 - 22		5
55 - 23		7
55 - 24		2
55 - 25		3
55 - 26		5
55 - 27		6
55 - 28		6
55 - 29		6
55 - 30		8
55 - 31		8
55 - 32		8
55 - 33		8
55 - 34		8
55 - 35		8
55 - 36		7
55 - 37		7
55 - 38		6
55 - 39		4
55 - 40		5
55 - 41		5
55 - 42		8
55 - 43		8
55 - 44		8
55 - 45		7
55 - 46		7
55 - 47		6
55 - 48		1
55 - 49		4
55 - 50		7
55 - 51		8
55 - 52		7
55 - 53		6
55 - 54		5
55 - 56		5
56 - 0		4
56 - 1		7
56 - 2		7
56 - 3		7
56 - 4		7
56 - 5		9
56 - 6		7
56 - 7		5
56 - 8		7
56 - 9		7
56 - 10		5
56 - 11		7
56 - 12		7
56 - 13		7
56 - 14		7
56 - 15		7
56 - 16		7
56 - 17		7
56 - 18		9
56 - 19		9
56 - 20		9
56 - 21		9
56 - 22		6
56 - 23		8
56 - 24		5
56 - 25		6
56 - 26		4
56 - 27		5
56 - 28		5
56 - 29		7
56 - 30		7
56 - 31		7
56 - 32		7
56 - 33		9
56 - 34		9
56 - 35		9
56 - 36		8
56 - 37		8
56 - 38		7
56 - 39		3
56 - 40		2
56 - 41		4
56 - 42		7
56 - 43		7
56 - 44		9
56 - 45		8
56 - 46		8
56 - 47		7
56 - 48		6
56 - 49		1
56 - 50		6
56 - 51		9
56 - 52		8
56 - 53		7
56 - 54		6
56 - 55		5
56 - 57		7
57 - 0		5
57 - 1		8
57 - 2		8
57 - 3		8
57 - 4		8
57 - 5		8
57 - 6		8
57 - 7		8
57 - 8		6
57 - 9		8
57 - 10		8
57 - 11		6
57 - 12		8
57 - 13		8
57 - 14		6
57 - 15		8
57 - 16		8
57 - 17		8
57 - 18		8
57 - 19		8
57 - 20		8
57 - 21		8
57 - 22		7
57 - 23		9
57 - 24		8
57 - 25		7
57 - 26		7
57 - 27		6
57 - 28		8
57 - 29		6
57 - 30		6
57 - 31		6
57 - 32		8
57 - 33		8
57 - 34		8
57 - 35		8
57 - 36		9
57 - 37		9
57 - 38		8
57 - 39		8
57 - 40		7
57 - 41		5
57 - 42		4
57 - 43		6
57 - 44		8
57 - 45		9
57 - 46		9
57 - 47		8
57 - 48		7
57 - 49		8
57 - 50		1
57 - 51		8
57 - 52		9
57 - 53		8
57 - 54		7
57 - 55		8
57 - 56		7
57 - 58		10
58 - 0		5
58 - 1		8
58 - 2		8
58 - 3		8
58 - 4		8
58 - 5		8
58 - 6		8
58 - 7		8
58 - 8		8
58 - 9		8
58 - 10		8
58 - 11		8
58 - 12		8
58 - 13		6
58 - 14		8
58 - 15		8
58 - 16		6
58 - 17		8
58 - 18		8
58 - 19		6
58 - 20		8
58 - 21		8
58 - 22		9
58 - 23		7
58 - 24		8
58 - 25		9
58 - 26		9
58 - 27		8
58 - 28		8
58 - 29		8
58 - 30		8
58 - 31		6
58 - 32		6
58 - 33		6
58 - 34		8
58 - 35		6
58 - 36		7
